Date,Close/Last,Volume,Open,High,Low
08/07/2023,$5.10,160616,$4.68,$5.183,$4.601
08/04/2023,$4.582,24157,$4.60,$4.66,$4.561
08/03/2023,$4.56,46988,$4.698,$4.725,$4.54
08/02/2023,$4.694,29941,$4.558,$4.699,$4.55
08/01/2023,$4.63,19324,$4.65,$4.65,$4.60
07/31/2023,$4.65,45029,$4.58,$4.68,$4.569
07/28/2023,$4.58,25251,$4.50,$4.683,$4.50
07/27/2023,$4.46,45847,$4.632,$4.782,$4.46
07/26/2023,$4.59,33732,$4.522,$4.73,$4.50
07/25/2023,$4.551,36199,$4.60,$4.697,$4.541
07/24/2023,$4.611,60266,$4.512,$4.70,$4.40
07/21/2023,$4.479,18214,$4.48,$4.50,$4.401
07/20/2023,$4.50,33029,$4.50,$4.549,$4.401
07/19/2023,$4.525,31694,$4.58,$4.60,$4.45
07/18/2023,$4.539,30276,$4.51,$4.58,$4.50
07/17/2023,$4.55,31088,$4.50,$4.60,$4.50
07/14/2023,$4.478,45442,$4.588,$4.60,$4.425
07/13/2023,$4.60,44014,$4.65,$4.65,$4.421
07/12/2023,$4.50,46853,$4.59,$4.649,$4.425
07/11/2023,$4.641,29658,$4.416,$4.70,$4.416
07/10/2023,$4.452,35051,$4.30,$4.499,$4.30
07/07/2023,$4.324,28934,$4.35,$4.41,$4.30
07/06/2023,$4.355,33821,$4.30,$4.41,$4.20
07/05/2023,$4.351,50633,$4.401,$4.49,$4.125
07/03/2023,$4.422,23504,$4.40,$4.48,$4.356
06/30/2023,$4.49,42751,$4.20,$4.49,$4.20
06/29/2023,$4.22,48978,$4.27,$4.40,$4.15
06/28/2023,$4.27,62905,$4.20,$4.50,$4.20
06/27/2023,$4.15,27989,$4.141,$4.25,$4.121
06/26/2023,$4.25,45836,$4.15,$4.30,$4.10
06/23/2023,$4.15,54024,$3.941,$4.15,$3.90
06/22/2023,$3.855,93148,$4.12,$4.151,$3.85
06/21/2023,$4.15,55761,$4.20,$4.21,$4.13
06/20/2023,$4.21,74206,$4.344,$4.491,$4.13
06/16/2023,$4.344,50577,$4.42,$4.499,$4.30
06/15/2023,$4.337,53674,$4.30,$4.40,$4.25
06/14/2023,$4.264,48091,$4.50,$4.50,$4.26
06/13/2023,$4.314,82355,$4.253,$4.50,$4.25
06/12/2023,$4.242,77643,$4.204,$4.393,$4.09
06/09/2023,$4.247,96202,$4.50,$4.54,$4.139
06/08/2023,$4.474,34179,$4.42,$4.525,$4.42
06/07/2023,$4.42,39559,$4.554,$4.576,$4.403
06/06/2023,$4.433,49791,$4.601,$4.70,$4.401
06/05/2023,$4.549,74354,$4.50,$4.729,$4.50
06/02/2023,$4.475,75477,$4.30,$4.595,$4.299
06/01/2023,$4.315,102718,$4.50,$4.50,$4.25
05/31/2023,$4.537,59888,$4.75,$4.76,$4.488
05/30/2023,$4.762,51444,$4.789,$4.999,$4.70
05/26/2023,$4.681,82627,$4.80,$4.90,$4.481
05/25/2023,$4.73,171848,$5.502,$5.769,$4.30
05/24/2023,$5.541,115834,$6.11,$6.30,$5.40
05/23/2023,$6.30,60422,$6.50,$6.764,$6.25
05/22/2023,$6.469,66386,$6.871,$6.90,$6.317
05/19/2023,$6.748,32044,$6.785,$6.983,$6.73
05/18/2023,$6.731,25088,$6.799,$6.847,$6.70
05/17/2023,$6.633,34496,$6.70,$6.855,$6.408
05/16/2023,$6.47,18252,$6.402,$6.60,$6.319
05/15/2023,$6.384,16942,$6.361,$6.501,$6.361
05/12/2023,$6.333,23513,$6.543,$6.689,$6.30
05/11/2023,$6.494,18257,$6.50,$6.695,$6.397
05/10/2023,$6.55,33548,$6.587,$6.699,$6.50
05/09/2023,$6.38,23759,$6.61,$6.70,$6.298
05/08/2023,$6.61,28891,$6.61,$6.989,$6.60
05/05/2023,$6.725,45419,$6.168,$6.799,$6.168
05/04/2023,$6.298,32446,$6.484,$6.599,$6.19
05/03/2023,$6.451,68476,$6.70,$6.799,$6.30
05/02/2023,$6.706,22183,$6.80,$6.901,$6.70
05/01/2023,$6.90,28227,$6.80,$6.985,$6.704
04/28/2023,$6.843,41708,$6.80,$6.972,$6.60
04/27/2023,$6.799,81113,$7.00,$7.26,$6.712
04/26/2023,$7.082,34045,$7.01,$7.30,$6.90
04/25/2023,$7.089,37931,$7.30,$7.363,$7.005
04/24/2023,$7.41,56008,$7.733,$8.10,$7.30
04/21/2023,$7.702,34000,$7.80,$8.289,$7.631
04/20/2023,$7.78,53968,$8.31,$8.45,$7.78
